,bjdtdb,phase,flux_raw,flux_norm,sigma_raw,sigma_norm,bestfit_raw,bestfit_norm
3863,2456423.09606699,0.9751362882210515,20790.1782406553,1.0039046244465961,137.8942830313956,0.006362000319517069,20709.31613858828,1.0
3864,2456423.0960901403,0.9751424856369226,20759.785379663426,1.004363350099575,137.79893872188796,0.006369818435832916,20669.59669287539,1.0
3865,2456423.096113291,0.9751486831774514,20585.901136460194,0.9962844257637337,137.55669674915174,0.006360750785035523,20662.674838743376,1.0
3866,2456423.0961364415,0.9751548805933226,20579.661041211806,0.9969701985582038,137.80729778559973,0.006378658615350232,20642.20281706881,1.0
3867,2456423.096159592,0.9751610780091937,20977.291345172896,1.0113251826845346,138.53254694880533,0.006381259615946583,20742.380101214585,1.0
3868,2456423.0961827426,0.9751672755497225,20702.06341796969,0.9996025748064538,138.1379064903603,0.006372939340170863,20710.29421065476,1.0
3869,2456423.096205893,0.9751734729655936,20383.622367764423,0.9880730010109667,137.33781382140498,0.006360788873976505,20629.67245022231,1.0
3870,2456423.0962290433,0.9751796703814648,20553.831861932616,0.9960708231176157,137.68060694457915,0.0063750467606273125,20634.910073563737,0.9999999999999998
3871,2456423.096252193,0.9751858676726215,20504.23016303884,0.9927463442889685,137.3045160067511,0.006351741765625201,20654.047512735506,0.9999999999999998
3872,2456423.096275344,0.9751920652131503,20466.28842465475,0.9944063518689344,137.50599414251676,0.006383511030906741,20581.41361043143,1.0000000000000002
3873,2456423.0962984944,0.9751982626290214,20289.054803693572,0.9891079426594771,137.2561003824623,0.0063933239885036585,20512.477889057398,1.0000000000000002
3874,2456423.0963216447,0.9752044600448926,20477.260180681827,0.9998027034458562,137.35311605176184,0.006407581785606725,20481.301070807483,1.0000000000000002
3875,2456423.096344795,0.9752106574607637,20481.9522625551,0.9931364857867137,137.51910794505622,0.006371091136364534,20623.50196139487,1.0
3876,2456423.096367946,0.9752168550012925,20632.031764213458,0.9965634021736185,138.03702306571853,0.006370473366152134,20703.18026852345,1.0
3877,2456423.0963910962,0.9752230524171637,20738.466518936853,1.0068070701006813,137.8510150363229,0.006394296471113487,20598.252768390863,1.0
3878,2456423.0964142466,0.9752292498330348,20886.980134113604,1.0086775901781142,138.17443887547304,0.006375549346080014,20707.290751274984,1.0
3879,2456423.0964373974,0.9752354473735068,20866.757562211,1.004766482419009,138.20441287409255,0.0063583621852873334,20767.76835944366,1.0
3880,2456423.0964605478,0.9752416447893779,20786.491209099357,0.9982615492834086,138.16211465123112,0.006339650446677223,20822.690430199098,1.0
3881,2456423.096483698,0.9752478422052491,20896.885043353996,1.0056501134403437,138.4352019398003,0.00636539084620074,20779.478631852828,1.0
3882,2456423.0965068485,0.9752540396211202,20663.81680095836,0.9966164008294662,137.70235637945672,0.006345590500785223,20733.972252273023,1.0
3883,2456423.0965409838,0.9752631777398051,20226.012892942275,0.9802215647344344,150.04699752703397,0.006947914506434112,20634.123570237905,1.0
3884,2456423.096564134,0.9752693751556762,20580.656317100627,0.9992549758475683,138.48419873766636,0.006424369404722162,20596.000835166335,1.0000000000000002
3885,2456423.096587285,0.975275572696205,20601.20124990104,1.0000939806844586,137.55082058561896,0.006380058158970972,20599.265316847224,1.0000000000000002
